event1	event2	m1_1	m2_1	dist1	m1_2	m2_2	dist2	Blu	Rlu
190521g	S190706ai	191.015006	80.104642	2312.369982	112.933503	74.121426	5294.057929	5.755693E-28	2.607211E-01
190521g	S190707q	191.015006	80.104642	2312.369982	13.665300	9.435456	806.532865	0.000000E+00	2.560156E-01
190521g	S190708ap	191.015006	80.104642	2312.369982	21.480518	14.643784	861.632575	0.000000E+00	2.407815E-01
190521g	S190720a	191.015006	80.104642	2312.369982	15.956410	9.005985	816.716283	0.000000E+00	1.604042E-01
190521g	S190727h	191.015006	80.104642	2312.369982	57.666366	45.159167	2858.799342	0.000000E+00	1.249568E-01
190521g	S190728q	191.015006	80.104642	2312.369982	14.403733	9.446159	897.634710	0.000000E+00	1.207311E-01
190521g	S190802ab	191.015006	80.104642	2312.369982	1.884447	1.031714	161.440189	0.000000E+00	1.005858E-01
190521g	S190804f	191.015006	80.104642	2312.369982	2.661309	0.997223	458.682711	0.000000E+00	9.654372E-02
190521g	S190812an	191.015006	80.104642	2312.369982	3.388247	1.510654	280.148786	0.000000E+00	7.470256E-02
190521g	S190814bv	191.015006	80.104642	2312.369982	24.687522	2.707457	266.583126	0.000000E+00	7.015609E-02
190521g	S190826u	191.015006	80.104642	2312.369982	1.594133	1.005948	221.791283	0.000000E+00	5.161342E-02
190521g	S190828j	191.015006	80.104642	2312.369982	43.837041	35.304224	1996.229569	0.000000E+00	4.947350E-02
190521g	S190828l	191.015006	80.104642	2312.369982	32.131295	12.406218	1550.884781	0.000000E+00	4.945613E-02
190521g	S190830y	191.015006	80.104642	2312.369982	13.495155	4.414696	1058.882711	0.000000E+00	4.679316E-02
190521g	S190901ap	191.015006	80.104642	2312.369982	2.057573	1.260297	241.128579	0.000000E+00	4.433815E-02
190521r	190425	51.535979	39.138066	1121.147106	2.063355	1.424297	163.086727	0.000000E+00	7.348684E-01
190521r	S190413ac	51.535979	39.138066	1121.147106	83.477306	55.758698	4215.177173	9.151415E-33	3.825213E-01
190521r	S190421ar	51.535979	39.138066	1121.147106	48.520636	37.469384	1559.917750	1.525081E-13	5.907317E-01
190521r	S190510g	51.535979	39.138066	1121.147106	2.127052	1.396210	214.506238	0.000000E+00	2.598701E+00
190521r	S190602aq	51.535979	39.138066	1121.147106	110.865717	60.439404	2538.314813	0.000000E+00	2.280771E+00
190521r	S190630ag	51.535979	39.138066	1121.147106	43.756930	25.094726	894.666939	3.410399E-143	3.387538E-01
190521r	S190706ai	51.535979	39.138066	1121.147106	112.933503	74.121426	5294.057929	3.693998E-203	2.627415E-01
190521r	S190707q	51.535979	39.138066	1121.147106	13.665300	9.435456	806.532865	0.000000E+00	2.579888E-01
190521r	S190708ap	51.535979	39.138066	1121.147106	21.480518	14.643784	861.632575	0.000000E+00	2.426055E-01
190521r	S190720a	51.535979	39.138066	1121.147106	15.956410	9.005985	816.716283	0.000000E+00	1.615171E-01
190521r	S190728q	51.535979	39.138066	1121.147106	14.403733	9.446159	897.634710	0.000000E+00	1.215203E-01
190521r	S190804f	51.535979	39.138066	1121.147106	2.661309	0.997223	458.682711	0.000000E+00	9.713935E-02
190521r	S190812an	51.535979	39.138066	1121.147106	3.388247	1.510654	280.148786	0.000000E+00	7.512608E-02
190521r	S190814bv	51.535979	39.138066	1121.147106	24.687522	2.707457	266.583126	0.000000E+00	7.054433E-02
190521r	S190826u	51.535979	39.138066	1121.147106	1.594133	1.005948	221.791283	0.000000E+00	5.186178E-02
190521r	S190828j	51.535979	39.138066	1121.147106	43.837041	35.304224	1996.229569	1.403289E-15	4.970635E-02
190521r	S190828l	51.535979	39.138066	1121.147106	32.131295	12.406218	1550.884781	0.000000E+00	4.968887E-02
190521r	S190830y	51.535979	39.138066	1121.147106	13.495155	4.414696	1058.882711	0.000000E+00	4.700689E-02
190521r	S190901ap	51.535979	39.138066	1121.147106	2.057573	1.260297	241.128579	0.000000E+00	4.453467E-02
S190408an	190425	32.283130	23.125394	1291.185374	2.063355	1.424297	163.086727	0.000000E+00	1.537291E+00
S190408an	190511	32.283130	23.125394	1291.185374	3.850878	1.518912	1683.381047	0.000000E+00	4.924016E-01
S190408an	190513bm	32.283130	23.125394	1291.185374	47.922319	25.884359	1908.148652	1.625392E-33	4.339842E-01
S190408an	190519bj	32.283130	23.125394	1291.185374	94.012281	67.120783	3830.846901	0.000000E+00	3.325970E-01
S190408an	190521g	32.283130	23.125394	1291.185374	191.015006	80.104642	2312.369982	0.000000E+00	3.123300E-01
S190408an	190521r	32.283130	23.125394	1291.185374	51.535979	39.138066	1121.147106	0.000000E+00	3.097793E-01
S190408an	S190413ac	32.283130	23.125394	1291.185374	83.477306	55.758698	4215.177173	1.669193E-190	7.184538E+00
S190408an	S190421ar	32.283130	23.125394	1291.185374	48.520636	37.469384	1559.917750	8.887304E-55	2.122803E+00
S190408an	S190425e	32.283130	23.125394	1291.185374	2.159430	1.390684	102.150916	0.000000E+00	1.576684E+00
S190408an	S190426c	32.283130	23.125394	1291.185374	5.518208	1.939483	673.410613	0.000000E+00	1.372116E+00
S190408an	S190510g	32.283130	23.125394	1291.185374	2.127052	1.396210	214.506238	0.000000E+00	5.282218E-01
S190408an	S190512at	32.283130	23.125394	1291.185374	27.933490	16.642326	1430.391569	1.793855E-66	4.590593E-01
S190408an	S190602aq	32.283130	23.125394	1291.185374	110.865717	60.439404	2538.314813	0.000000E+00	1.912539E-01
S190408an	S190607t	32.283130	23.125394	1291.185374	1.982071	1.254118	135.817611	0.000000E+00	1.610256E-01
S190408an	S190630ag	32.283130	23.125394	1291.185374	43.756930	25.094726	894.666939	2.543109E-40	7.586360E-02
S190408an	S190701ah	32.283130	23.125394	1291.185374	77.306595	53.661396	1841.469922	0.000000E+00	7.355413E-02
S190408an	S190704o	32.283130	23.125394	1291.185374	6.364086	4.321680	436.060624	0.000000E+00	6.834518E-02
S190408an	S190706ai	32.283130	23.125394	1291.185374	112.933503	74.121426	5294.057929	0.000000E+00	6.382908E-02
S190408an	S190707q	32.283130	23.125394	1291.185374	13.665300	9.435456	806.532865	0.000000E+00	6.303479E-02
S190408an	S190708ap	32.283130	23.125394	1291.185374	21.480518	14.643784	861.632575	3.723737E-240	6.043313E-02
S190408an	S190720a	32.283130	23.125394	1291.185374	15.956410	9.005985	816.716283	0.000000E+00	4.599776E-02
S190408an	S190727h	32.283130	23.125394	1291.185374	57.666366	45.159167	2858.799342	1.693597E-249	3.921007E-02
S190408an	S190728q	32.283130	23.125394	1291.185374	14.403733	9.446159	897.634710	0.000000E+00	3.837572E-02
S190408an	S190802ab	32.283130	23.125394	1291.185374	1.884447	1.031714	161.440189	0.000000E+00	3.429102E-02
S190408an	S190804f	32.283130	23.125394	1291.185374	2.661309	0.997223	458.682711	0.000000E+00	3.344496E-02
S190408an	S190812an	32.283130	23.125394	1291.185374	3.388247	1.510654	280.148786	0.000000E+00	2.864297E-02
S190408an	S190814bv	32.283130	23.125394	1291.185374	24.687522	2.707457	266.583126	0.000000E+00	2.757700E-02
S190408an	S190826u	32.283130	23.125394	1291.185374	1.594133	1.005948	221.791283	0.000000E+00	2.283032E-02
S190408an	S190828j	32.283130	23.125394	1291.185374	43.837041	35.304224	1996.229569	1.689639E-79	2.222480E-02
