,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
82,10.0,5.0,135.0,0.956887167296008,0.8894055503311391,0.9746087039892618,0.007220346289244916,0.15613382899628253,0.8907028037970336
83,10.0,5.0,150.0,0.956201450570999,0.8911782948838513,0.9751520042185665,0.007373339173601985,0.1580942068218733,0.8898091489046596
84,10.0,5.0,165.0,0.9562620966201103,0.8921006822865604,0.9754316440424733,0.007362821433173192,0.15960644984968572,0.8894286232880948
85,10.0,6.0,105.0,0.9566339111849215,0.894625742811981,0.9762545840956848,0.007500518251889263,0.16422947131608545,0.8906420350029216
86,10.0,6.0,120.0,0.9572393502074495,0.8958422537465736,0.9765981415936275,0.007549615846567402,0.16576473939048703,0.8901026147787714
87,10.0,6.0,135.0,0.9567350268465292,0.8988255067128194,0.9772852565895127,0.007770495663435501,0.16700849692352768,0.8899523508122147
88,10.0,6.0,150.0,0.9569017402478157,0.9007203025270614,0.9776607729244733,0.007838275579372538,0.16686531585220502,0.889592804980281
89,10.0,6.0,165.0,0.9567932894689429,0.9018887932931832,0.9781481451889966,0.007930887976207337,0.16995447647951442,0.8898665982214522
90,10.0,7.0,105.0,0.9549385457260315,0.9028551991836571,0.9784757232684302,0.007928075194115243,0.1710769230769231,0.8911321859279632
91,10.0,7.0,120.0,0.9541755378781175,0.905452289961784,0.9793306221586596,0.008060791804861665,0.17374640689875442,0.8905871793502725
92,10.0,7.0,135.0,0.9537167233747113,0.9070489605634366,0.9798419635509463,0.008155770955207312,0.17790811339198437,0.8903572857666613
93,10.0,7.0,150.0,0.9530557359177227,0.9093279177254446,0.9805850065116131,0.008315644353020986,0.18126684636118598,0.8906888413530564
94,10.0,7.0,165.0,0.9524382338376236,0.9108965765621561,0.9808646463355198,0.008372486583980938,0.1817560642295866,0.8904276896446802
95,10.0,8.0,105.0,0.953036882526132,0.909157846295444,0.9803213461062152,0.008256880733944955,0.18036605657237936,0.8915335330950066
96,10.0,8.0,120.0,0.9528886236572747,0.9102783168930951,0.9806728933134123,0.008359133126934985,0.18359770502868714,0.8904317349351749
